0001	Adam	Adolphe	La Poupée de Nuremberg (the Nurenberg Doll), Overture, 1st Theme
0002	Adam	Adolphe	La Poupée de Nuremberg, 2nd Theme
0003	Adam	Adolphe	La Poupée de Nuremberg, 3rd Theme
0004	Adam	Adolphe	La Poupée de Nuremberg, 4th Theme
0005	Adam	Adolphe	Si J'Étais Roi, Overture, 1st Theme
0006	Adam	Adolphe	Si J'Étais Roi, Overture, 2nd Theme
0007	Adam	Adolphe	Si J'Étais Roi, Overture, 3rd Theme
0008	Adam	Adolphe	Si J'Étais Roi, Overture, 4th Theme
0009	Albéniz	Isaac M. F.	Suite Española, Piano, Cadiz (Saeta) 1st Theme
0010	Albéniz	Isaac M. F.	Suite Española, Cadiz (Saeta), 2nd Theme
0011	Albéniz	Isaac M. F.	Cuba
0012	Albéniz	Isaac M. F.	Seguidillas - 1st Theme
0013	Albéniz	Isaac M. F.	Seguidillas - 1st Theme, Pt. 2
0014	Albéniz	Isaac M. F.	Seguidillas - 2nd Theme
0015	Albéniz	Isaac M. F.	Sevillanas
0016	Albéniz	Isaac M. F.	Iberia, Book I, Piano, Evocacion
0017	Albéniz	Isaac M. F.	Iberia, Book I, Fête Dieu a Seville - 1st Theme
0018	Albéniz	Isaac M. F.	Iberia, Book I, Fête Dieu a Seville - 2nd Theme
0019	Albéniz	Isaac M. F.	Iberia, Book II, Triana, 1st Theme
0020	Albéniz	Isaac M. F.	Iberia, Book II, Triana, 2nd Theme
0021	Albéniz	Isaac M. F.	Iberia, Book III, El Albaicin (El Pollo)
0022	Albéniz	Isaac M. F.	Iberia, Book IV, Jerez	https://youtu.be/U1YsyCQbRQU
0023	Albéniz	Isaac M. F.	Malaga
0024	Albéniz	Isaac M. F.	Cordoba (Nocturne), Piano, 1st Theme
0025	Albéniz	Isaac M. F.	Cordoba, 2nd Theme
0026	Albéniz	Isaac M. F.	Cordoba, 2nd Theme, Pt. 2
0027	Albéniz	Isaac M. F.	Pavana-Capricho, Op. 12, Piano, 1st Theme
0028	Albéniz	Isaac M. F.	Pavana-Capricho, Op. 12, 2nd Theme
0029	Albéniz	Isaac M. F.	Sous Le Palmier (Tango Flamenco), Piano, 1st Theme
0030	Albéniz	Isaac M. F.	Sous Le Palmier, 2nd Theme
0031	Albéniz	Isaac M. F.	Tango in D., Piano
0032	Alfven	Hugo	Midsommarvarka (Swedish Rhapsody), Op. 19, Orchestra, 1st Theme
0033	Alfven	Hugo	Midsommarvarka, Op. 19, Orchestra, 2nd Theme
0034	Alfven	Hugo	Midsommarvarka, Op. 19, Orchestra, 3rd Theme
0035	Alfven	Hugo	Midsommarvarka, Op. 19, Orchestra, 4th Theme
0036	Arensky	Anton	Suite No. 1, Op. 15, 2 Pfts., La Romance, 1stTheme
0037	Arensky	Anton	Suite No. 1, Op. 15, La Romance, 2ndTheme
0038	Arensky	Anton	Suite No. 1, Op. 15, Valse, 1st Theme
0039	Arensky	Anton	Suite No. 1, Op. 15, Valse, 2nd Theme
0040	Arensky	Anton	Trio in D minor, Op. 32, Vn., Piano, and Vcl., 1st Movement - 1st Theme
0041	Arensky	Anton	Trio in D minor, Op. 32, 1st Movement - 2nd Theme
0042	Arensky	Anton	Trio in D minor, Op. 32, 2nd Movement - 1st Theme
0043	Arensky	Anton	Trio in D minor, Op. 32, 2nd Movement - 2nd Theme
0044	Arensky	Anton	Trio in D minor, Op. 32, 3rd Movement - 1st Theme (Elegie)
0045	Arensky	Anton	Trio in D minor, Op. 32, 3rd Movement - 2nd Theme
0046	Arensky	Anton	Trio in D minor, Op. 32, 4th Movement - 1st Theme
0047	Arensky	Anton	Trio in D minor, Op. 32, 4th Movement - 2nd Theme
0048	Atterberg	Kurt	Symphony No. 6 in C, Op. 31, 1st Movement - 1st Theme
0049	Atterberg	Kurt	Symphony No. 6 in C, Op. 31, 1st Movement - 2nd Theme
0050	Atterberg	Kurt	Symphony No. 6 in C, Op. 31, 1st Movement - 3rd Theme
0051	Atterberg	Kurt	Symphony No. 6 in C, Op. 31, 2nd Movement - 1st Theme
0052	Atterberg	Kurt	Symphony No. 6 in C, Op. 31, 2nd Movement - 2nd Theme
0053	Atterberg	Kurt	Symphony No. 6 in C, Op. 31, 3rd Movement - 1st Theme
0054	Atterberg	Kurt	Symphony No. 6 in C, Op. 31, 3rd Movement - 2nd Theme
0055	Auber	Daniel François	Le Cheval de Bronze, Overture, 1st Theme
0056	Auber	Daniel François	Le Cheval de Bronze, Overture, 2ndTheme
0057	Auber	Daniel François	Le Cheval de Bronze, Overture, 3rd Theme
0058	Auber	Daniel François	Le Domino Noir, Overture, 1st Theme
0059	Auber	Daniel François	Le Domino Noir, Overture, 2nd Theme
0060	Auber	Daniel François	Le Domino Noir, Overture, 3rd Theme
0061	Auber	Daniel François	Le Domino Noir, Overture, 4th Theme
0062	Auber	Daniel François	Fra Diavolo, Overture, 1st Theme
0063	Auber	Daniel François	Fra Diavolo, Overture, 2nd Theme
0064	Auber	Daniel François	Fra Diavolo, Overture, 3rd Theme
0065	Auber	Daniel François	La Muette De Portici, Overture, 1st Theme
0066	Auber	Daniel François	La Muette De Portici, Overture, 2nd Theme
0067	Auber	Daniel François	La Muette de Portici, Act II, Barcarolle
0068	Auber	Daniel François	La Muette de Portici, Act II, Barcarolle, Pt. 2 - Duet
0069	Auber	Daniel François	La Muette de Portici, Act IV
0070	Aubert	Louis	Habanera, Orchestra - 1st Theme
0071	Aubert	Louis	Habanera, Orchestra - 2nd Theme
0072	Aubert	Louis	Suite Breve, Op. 6, Orchestra, I. Menuet, 1st Theme
0073	Aubert	Louis	Suite Breve, Op. 6, Orchestra, I. Menuet, 2nd Theme
0074	Aubert	Louis	II. Berceuse
0075	Aubert	Louis	III. Air de Ballet, 1st Theme
0076	Aubert	Louis	III. Air de Ballet, 2nd Theme
0077	Aubert	Louis	III. Air de Ballet, 3rd Theme
0078	Auric	Georges	Les Matelots (Ballet), 1st Movement - 1st Theme
0080	Auric	Georges	Les Matelots, 1st Movement - 3rd Theme
0081	Auric	Georges	Les Matelots, 1st Movement - 4th Theme
0082	Auric	Georges	Les Matelots, 2nd Movement
0083	Auric	Georges	Les Matelots, 3rd Movement - 1st Theme
0084	Auric	Georges	Les Matelots, 3rd Movement - 2nd Theme
0085	Auric	Georges	Les Matelots, 4th Movement - 1st Theme
